anime_id;name;type;episodes;rating;members;genre 1;genre 2;genre 3;genre 4;genre 5;genre 6;genre 7;;;;;;
5300;Zoku Natsume Yuujinchou;TV;13;8.64;114173;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
9989;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;TV;11;8.62;463835;Drama; Slice of Life; Supernatural;;;;;;;;;;
24415;Kuroko no Basket 3rd Season;TV;25;8.62;184525;Comedy; School; Shounen; Sports;;;;;;;;;
11577;Steins;;;;;;;;;;;;;;;;;
10408;Hotarubi no Mori e;Movie;1;8.61;197439;Drama; Romance; Shoujo; Supernatural;;;;;;;;;
28171;Shokugeki no Souma;TV;24;8.61;348951;Ecchi; School; Shounen;;;;;;;;;;
32995;Yuri!!! on Ice;TV;12;8.61;103178;Comedy; Sports;;;;;;;;;;;
21899;Gintama: Yorinuki Gintama-san on Theater 2D;Movie;2;8.60;11104;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
26055;JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;TV;24;8.60;93657;Action; Adventure; Drama; Shounen; Supernatural;;;;;;;;
7472;Gintama Movie: Shinyaku Benizakura-hen;Movie;1;8.59;51185;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
777;Hellsing Ultimate;OVA;10;8.59;297454;Action; Horror; Military; Seinen; Supernatural; Vampire;;;;;;;
22535;Kiseijuu: Sei no Kakuritsu;TV;24;8.59;425457;Action; Drama; Horror; Psychological; Sci-Fi; Seinen;;;;;;;
28735;Shouwa Genroku Rakugo Shinjuu;TV;13;8.59;71295;Drama; Historical; Josei;;;;;;;;;;
12431;Uchuu Kyoudai;TV;99;8.59;72958;Comedy; Sci-Fi; Seinen; Slice of Life; Space;;;;;;;;
28805;Bakemono no Ko;Movie;1;8.58;80825;Adventure; Supernatural;;;;;;;;;;;
578;Hotaru no Haka;Movie;1;8.58;174878;Drama; Historical;;;;;;;;;;;
16894;Kuroko no Basket 2nd Season;TV;25;8.58;243325;Comedy; School; Shounen; Sports;;;;;;;;;
5028;Major S5;TV;25;8.58;28653;Comedy; Drama; Romance; Sports;;;;;;;;;
21;One Piece;TV;Unknown;8.58;504862;Action; Adventure; Comedy; Drama; Fantasy; Shounen; Super Power;;;;;;
801;Ghost in the Shell: Stand Alone Complex 2nd GIG;TV;26;8.57;113993;Action; Mecha; Military; Mystery; Police; Sci-Fi; Seinen;;;;;;
31933;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;TV;39;8.57;74074;Action; Adventure; Comedy; Drama; Shounen; Supernatural;;;;;;;
5205;Kara no Kyoukai 7: Satsujin Kousatsu (Kou);Movie;1;8.57;95658;Action; Mystery; Romance; Supernatural; Thriller;;;;;;;;
17389;Kingdom 2nd Season;TV;39;8.57;31234;Action; Historical; Military; Seinen;;;;;;;;;
170;Slam Dunk;TV;101;8.56;82570;Comedy; Drama; School; Shounen; Sports;;;;;;;;
10162;Usagi Drop;TV;11;8.56;194855;Josei; Slice of Life;;;;;;;;;;;
18617;Girls und Panzer der Film;Movie;1;8.55;25641;Military; School;;;;;;;;;;;
32182;Mob Psycho 100;TV;12;8.55;193716;Action; Comedy; Slice of Life; Supernatural;;;;;;;;;
877;Nana;TV;47;8.55;197256;Comedy; Drama; Music; Romance; Shoujo; Slice of Life;;;;;;;
2251;Baccano!;TV;13;8.54;363215;Action; Comedy; Historical; Mystery; Seinen; Supernatural;;;;;;;
24687;Mushishi Zoku Shou: Odoro no Michi;Special;1;8.54;34011;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
16498;Shingeki no Kyojin;TV;25;8.54;896229;Action; Drama; Fantasy; Shounen; Super Power;;;;;;;;
10030;Bakuman. 2nd Season;TV;25;8.53;151561;Comedy; Drama; Romance; Shounen;;;;;;;;;
5941;Cross Game;TV;50;8.53;53108;Comedy; Drama; Romance; School; Sports;;;;;;;;
30346;Doukyuusei (Movie);Movie;1;8.53;28864;Romance; School; Shounen Ai; Slice of Life;;;;;;;;;
3784;Evangelion: 2.0 You Can (Not) Advance;Movie;1;8.53;182224;Action; Mecha; Sci-Fi;;;;;;;;;;
13125;Shinsekai yori;TV;25;8.53;288376;Drama; Horror; Mystery; Sci-Fi; Supernatural;;;;;;;;
12029;Uchuu Senkan Yamato 2199;OVA;26;8.53;44223;Action; Drama; Military; Sci-Fi; Space;;;;;;;;
14397;Chihayafuru 2;TV;25;8.52;86074;Drama; Game; Josei; Slice of Life; Sports;;;;;;;;
10087;Fate/Zero;TV;13;8.51;453630;Action; Fantasy; Supernatural;;;;;;;;;;
14719;JoJo no Kimyou na Bouken (TV);TV;26;8.51;190197;Action; Adventure; Shounen; Supernatural; Vampire;;;;;;;;
9756;Mahou Shoujo Madoka★Magica;TV;12;8.51;462974;Drama; Magic; Psychological; Thriller;;;;;;;;;
10165;Nichijou;TV;26;8.52;254436;Comedy; School; Slice of Life;;;;;;;;;;
13601;Psycho-Pass;TV;22;8.50;509109;Action; Police; Psychological; Sci-Fi;;;;;;;;;
22789;Barakamon;TV;12;8.50;225927;Comedy; Slice of Life;;;;;;;;;;;
30230;Diamond no Ace: Second Season;TV;51;8.50;38531;Comedy; School; Shounen; Sports;;;;;;;;;
18115;Magi: The Kingdom of Magic;TV;25;8.50;245026;Action; Adventure; Fantasy; Magic; Shounen;;;;;;;;
11981;Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari;Movie;1;8.50;135735;Drama; Magic; Psychological; Thriller;;;;;;;;;
11917;Major: World Series;OVA;2;8.50;13405;Comedy; Drama; Sports;;;;;;;;;;
205;Samurai Champloo;TV;26;8.50;390076;Action; Adventure; Comedy; Historical; Samurai; Shounen;;;;;;;
32282;Shokugeki no Souma: Ni no Sara;TV;13;8.50;185015;Ecchi; School; Shounen;;;;;;;;;;
6594;Katanagatari;TV;12;8.49;207241;Action; Adventure; Historical; Martial Arts; Romance;;;;;;;;
11979;Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari;Movie;1;8.49;85361;Drama; Magic; Psychological; Thriller;;;;;;;;;
7655;Major S6;TV;25;8.49;24788;Comedy; Drama; Sports;;;;;;;;;;
2246;Mononoke;TV;12;8.49;88850;Demons; Fantasy; Historical; Horror; Mystery; Seinen; Supernatural;;;;;;
25835;Shirobako;TV;24;8.49;146895;Comedy; Drama;;;;;;;;;;;
2921;Ashita no Joe 2;TV;47;8.48;6259;Drama; Sports;;;;;;;;;;;
136;Hunter x Hunter;TV;62;8.48;166255;Action; Adventure; Shounen; Super Power;;;;;;;;;
30503;Noragami Aragoto;TV;13;8.48;299434;Action; Adventure; Shounen; Supernatural;;;;;;;;;
12531;Sakamichi no Apollon;TV;12;8.48;146592;Drama; Josei; Music; Romance; School;;;;;;;;
523;Tonari no Totoro;Movie;1;8.48;271484;Adventure; Comedy; Supernatural;;;;;;;;;;
467;Ghost in the Shell: Stand Alone Complex;TV;26;8.47;194491;Action; Mecha; Military; Police; Sci-Fi; Seinen;;;;;;;
572;Kaze no Tani no Nausicaä;Movie;1;8.47;143273;Adventure; Fantasy;;;;;;;;;;;
19815;No Game No Life;TV;12;8.47;602291;Adventure; Comedy; Ecchi; Fantasy; Game; Supernatural;;;;;;;
2559;Romeo no Aoi Sora;TV;33;8.47;15074;Adventure; Drama; Historical; Slice of Life;;;;;;;;;
392;Yuu☆Yuu☆Hakusho;TV;112;8.47;195017;Action; Comedy; Demons; Fantasy; Martial Arts; School; Shounen;;;;;;
486;Kino no Tabi: The Beautiful World;TV;13;8.46;102822;Action; Adventure; Slice of Life;;;;;;;;;;
11771;Kuroko no Basket;TV;25;8.46;338315;Comedy; School; Shounen; Sports;;;;;;;;;
1698;Nodame Cantabile;TV;23;8.46;157025;Comedy; Drama; Josei; Music; Romance; Slice of Life;;;;;;;
5341;Ookami to Koushinryou II;TV;12;8.46;210491;Adventure; Fantasy; Historical; Romance;;;;;;;;;
25781;Shingeki no Kyojin: Kuinaki Sentaku;OVA;2;8.45;92543;Action; Fantasy; Shoujo; Supernatural;;;;;;;;;
10863;Steins;;;;;;;;;;;;;;;;;
28701;Fate/stay night: Unlimited Blade Works 2nd Season;TV;13;8.45;205987;Action; Fantasy; Magic; Shounen; Supernatural;;;;;;;;
5420;Kemono no Souja Erin;TV;50;8.45;36751;Drama; Fantasy;;;;;;;;;;;
9260;Kizumonogatari I: Tekketsu-hen;Movie;1;8.45;99579;Mystery; Supernatural; Vampire;;;;;;;;;;
32;Neon Genesis Evangelion: The End of Evangelion;Movie;1;8.45;215630;Dementia; Drama; Mecha; Psychological; Sci-Fi;;;;;;;;
4224;Toradora!;TV;25;8.45;633817;Comedy; Romance; School; Slice of Life;;;;;;;;;
2236;Toki wo Kakeru Shoujo;Movie;1;8.44;289206;Adventure; Drama; Romance; Sci-Fi;;;;;;;;;
2685;Tsubasa: Tokyo Revelations;OVA;3;8.44;57963;Action; Adventure; Drama; Fantasy; Romance; Shounen;;;;;;;
31181;Owarimonogatari;TV;12;8.43;107855;Comedy; Mystery; Supernatural;;;;;;;;;;
45;Rurouni Kenshin: Meiji Kenkaku Romantan;TV;94;8.43;218928;Action; Adventure; Comedy; Historical; Romance; Samurai;;;;;;;
2418;Stranger: Mukou Hadan;Movie;1;8.43;125503;Action; Adventure; Historical; Samurai;;;;;;;;;
1365;Detective Conan Movie 06: The Phantom of Baker Street;Movie;1;8.42;28462;Adventure; Mystery; Police; Shounen;;;;;;;;;
22297;Fate/stay night: Unlimited Blade Works;TV;12;8.42;267484;Action; Fantasy; Magic; Shounen; Supernatural;;;;;;;;
627;Major S1;TV;26;8.42;41061;Comedy; Drama; Shounen; Sports;;;;;;;;;
10937;Mobile Suit Gundam: The Origin;OVA;6;8.42;15420;Action; Mecha; Military; Sci-Fi; Shounen; Space;;;;;;;
23755;Nanatsu no Taizai;TV;24;8.42;331627;Action; Adventure; Ecchi; Fantasy; Shounen; Supernatural;;;;;;;
4081;Natsume Yuujinchou;TV;13;8.42;210736;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
4155;One Piece Film: Strong World;Movie;1;8.42;85020;Action; Adventure; Comedy; Drama; Fantasy; Shounen;;;;;;;
1889;Higurashi no Naku Koro ni Kai;TV;24;8.41;218101;Mystery; Psychological; Supernatural; Thriller;;;;;;;;;
137;Hunter x Hunter OVA;OVA;8;8.41;53168;Action; Adventure; Shounen; Super Power;;;;;;;;;
139;Hunter x Hunter: Greed Island Final;OVA;14;8.41;55787;Action; Adventure; Shounen; Super Power;;;;;;;;;
23317;Kuroshitsuji: Book of Murder;OVA;2;8.41;67261;Comedy; Demons; Fantasy; Historical; Mystery; Shounen; Supernatural;;;;;;
558;Major S2;TV;26;8.41;30689;Comedy; Drama; Shounen; Sports;;;;;;;;;
5040;One Outs;TV;25;8.41;83056;Psychological; Seinen; Sports;;;;;;;;;;
57;Beck;TV;26;8.40;148328;Comedy; Drama; Music; Shounen; Slice of Life;;;;;;;;
33;Berserk;TV;25;8.40;226430;Action; Adventure; Demons; Drama; Fantasy; Horror; Military; Romance; Seinen; Supernatural;;;
5;Cowboy Bebop: Tengoku no Tobira;Movie;1;8.40;137636;Action; Drama; Mystery; Sci-Fi; Space;;;;;;;;
1842;Major S3;TV;26;8.40;29528;Drama; Shounen; Sports;;;;;;;;;;
6336;Mobile Suit Gundam Unicorn;OVA;7;8.40;42076;Action; Drama; Mecha; Military; Sci-Fi; Space;;;;;;;
20651;Natsume Yuujinchou: Itsuka Yuki no Hi ni;OVA;1;8.40;28302;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
1210;NHK ni Youkoso!;TV;24;8.40;291228;Comedy; Drama; Psychological; Romance;;;;;;;;;
338;Rose of Versailles;TV;40;8.40;32188;Adventure; Drama; Historical; Romance; Shoujo;;;;;;;;
13759;Sakurasou no Pet na Kanojo;TV;24;8.40;380375;Comedy; Drama; Romance; School; Slice of Life;;;;;;;;
6547;Angel Beats!;TV;13;8.39;717796;Action; Comedy; Drama; School; Supernatural;;;;;;;;
5081;Bakemonogatari;TV;15;8.39;482268;Mystery; Romance; Supernatural; Vampire;;;;;;;;;
32867;Bungou Stray Dogs 2nd Season;TV;12;8.39;83641;Mystery; Seinen; Supernatural;;;;;;;;;;
264;Hajime no Ippo: Champion Road;Special;1;8.39;47840;Comedy; Shounen; Sports;;;;;;;;;;
12859;One Piece Film: Z;Movie;1;8.39;76051;Action; Adventure; Comedy; Drama; Fantasy; Shounen;;;;;;;
853;Ouran Koukou Host Club;TV;26;8.39;422271;Comedy; Harem; Romance; School; Shoujo;;;;;;;;
5460;Detective Conan Movie 13: The Raven Chaser;Movie;1;8.38;21798;Action; Mystery; Police; Shounen;;;;;;;;;
6746;Durarara!!;TV;24;8.38;556431;Action; Mystery; Supernatural;;;;;;;;;;
5690;Nodame Cantabile Finale;TV;11;8.38;67697;Comedy; Josei; Music; Romance;;;;;;;;;
329;Planetes;TV;26;8.38;105044;Drama; Romance; Sci-Fi; Seinen; Space;;;;;;;;
34240;Shelter;Music;1;8.38;71136;Music; Sci-Fi;;;;;;;;;;;
513;Tenkuu no Shiro Laputa;Movie;1;8.38;151061;Adventure; Fantasy; Romance; Sci-Fi;;;;;;;;;
6945;Gintama: Shiroyasha Koutan;Special;1;8.37;27213;Action; Comedy; Historical; Parody; Sci-Fi;;;;;;;;
1142;Hachimitsu to Clover II;TV;12;8.37;61493;Drama; Josei; Romance;;;;;;;;;;
6811;InuYasha: Kanketsu-hen;TV;26;8.37;99128;Action; Adventure; Comedy; Demons; Fantasy; Magic; Romance; Shounen; Supernatural;;;;
16664;Kaguya-hime no Monogatari;Movie;1;8.37;45547;Fantasy; Historical;;;;;;;;;;;
1604;Katekyo Hitman Reborn!;TV;203;8.37;258103;Action; Comedy; Shounen; Super Power;;;;;;;;;
22145;Kuroshitsuji: Book of Circus;TV;10;8.37;122895;Comedy; Demons; Fantasy; Historical; Shounen; Supernatural;;;;;;;
2966;Ookami to Koushinryou;TV;13;8.37;334932;Adventure; Fantasy; Historical; Romance;;;;;;;;;
31964;Boku no Hero Academia;TV;13;8.36;282002;Action; Comedy; School; Shounen; Super Power;;;;;;;;
19363;Gin no Saji 2nd Season;TV;11;8.36;67032;Comedy; School; Shounen; Slice of Life;;;;;;;;;
18195;Little Busters!: Refrain;TV;13;8.36;71820;Comedy; Drama; Romance; School; Slice of Life; Supernatural;;;;;;;
9890;Major: Message;OVA;1;8.36;12282;Comedy; Drama; Sports;;;;;;;;;;
9130;Saint Seiya: The Lost Canvas - Meiou Shinwa 2;OVA;13;8.36;27532;Action; Adventure; Martial Arts; Shounen; Super Power; Supernatural;;;;;;;
9863;SKET Dance;TV;77;8.36;101027;Comedy; School; Shounen;;;;;;;;;;
7674;Bakuman.;TV;25;8.35;246899;Comedy; Romance; Shounen;;;;;;;;;;
11843;Danshi Koukousei no Nichijou;TV;12;8.35;258914;Comedy; School; Shounen; Slice of Life;;;;;;;;;
16782;Kotonoha no Niwa;Movie;1;8.35;189741;Drama; Psychological; Romance; Slice of Life;;;;;;;;;
28675;Kyoukai no Kanata Movie: I&#039;;;;;;;;;;;;;;;;;
3226;Major S4;TV;26;8.35;28002;Comedy; Drama; Shounen; Sports;;;;;;;;;
21557;Omoide no Marnie;Movie;1;8.35;53590;Drama; Mystery; Psychological;;;;;;;;;;
31715;Working!!!: Lord of the Takanashi;Special;1;8.34;31856;Comedy; Romance; Slice of Life;;;;;;;;;;
43;Ghost in the Shell;Movie;1;8.34;223036;Action; Mecha; Police; Psychological; Sci-Fi; Seinen;;;;;;;
9617;K-On! Movie;Movie;1;8.34;115252;Comedy; Music; Slice of Life;;;;;;;;;;
31051;Kuroko no Basket: Saikou no Present Desu;Special;1;8.34;22900;Action; School; Shounen; Sports;;;;;;;;;
10153;Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;;;;;;;;;;;;;;;;;
1033;Sennen Joyuu;Movie;1;8.34;58492;Action; Adventure; Drama; Fantasy; Historical; Romance;;;;;;;
32188;Steins;;;;;;;;;;;;;;;;;
3091;xxxHOLiC Kei;TV;13;8.34;74941;Comedy; Drama; Mystery; Psychological; Supernatural;;;;;;;;
12115;Berserk: Ougon Jidai-hen III - Kourin;Movie;1;8.33;65594;Action; Adventure; Demons; Drama; Fantasy; Horror; Military; Seinen; Supernatural;;;;
28223;Death Parade;TV;12;8.33;383914;Drama; Game; Mystery; Psychological; Thriller;;;;;;;;
121;Fullmetal Alchemist;TV;51;8.33;600384;Action; Adventure; Comedy; Drama; Fantasy; Magic; Military; Shounen;;;;;
3002;Gyakkyou Burai Kaiji: Ultimate Survivor;TV;26;8.33;98996;Game; Psychological; Seinen; Thriller;;;;;;;;;
138;Hunter x Hunter: Greed Island;OVA;8;8.33;57029;Action; Adventure; Shounen; Super Power;;;;;;;;;
6675;Redline;Movie;1;8.33;109392;Action; Cars; Sci-Fi; Sports;;;;;;;;;
10800;Chihayafuru;TV;25;8.32;158561;Drama; Game; Josei; Slice of Life; Sports;;;;;;;;
32005;Detective Conan Movie 20: The Darkest Nightmare;Movie;1;8.32;6229;Action; Mystery; Police; Shounen;;;;;;;;;
813;Dragon Ball Z;TV;291;8.32;375662;Action; Adventure; Comedy; Fantasy; Martial Arts; Shounen; Super Power;;;;;;
27821;Fate/stay night: Unlimited Blade Works - Prologue;Special;1;8.32;106382;Action; Fantasy; Magic; Shounen; Supernatural;;;;;;;;
28725;Kokoro ga Sakebitagatterunda.;Movie;1;8.32;59652;Drama; Romance; School;;;;;;;;;;
585;Mimi wo Sumaseba;Movie;1;8.32;94435;Adventure; Drama; Fantasy; Romance; Slice of Life;;;;;;;;
16067;Nagi no Asukara;TV;26;8.32;224947;Drama; Fantasy; Romance;;;;;;;;;;
30;Neon Genesis Evangelion;TV;26;8.32;461946;Action; Dementia; Drama; Mecha; Psychological; Sci-Fi;;;;;;;
31490;One Piece Film: Gold;Movie;1;8.32;18642;Action; Adventure; Comedy; Drama; Fantasy; Shounen;;;;;;;
759;Tokyo Godfathers;Movie;1;8.32;89424;Comedy; Drama;;;;;;;;;;;
6;Trigun;TV;26;8.32;283069;Action; Comedy; Sci-Fi;;;;;;;;;;
6864;xxxHOLiC Rou;OVA;2;8.32;36353;Mystery; Supernatural;;;;;;;;;;;
9735;Gintama: Shinyaku Benizakura-hen;Special;1;8.31;14002;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
11977;Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari;Movie;1;8.31;88164;Drama; Magic; Psychological; Thriller;;;;;;;;;
11123;Sekaiichi Hatsukoi 2;TV;12;8.31;69253;Comedy; Drama; Romance; Shounen Ai;;;;;;;;;
23847;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku;TV;13;8.31;222994;Comedy; Drama; Romance; School;;;;;;;;;
33161;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA;OVA;1;8.31;35120;Comedy; Romance; School;;;;;;;;;;
962;Aria The Natural;TV;26;8.30;39596;Fantasy; Sci-Fi; Shounen; Slice of Life;;;;;;;;;
1519;Black Lagoon: The Second Barrage;TV;12;8.30;203233;Action; Seinen;;;;;;;;;;;
2167;Clannad;TV;23;8.30;566690;Comedy; Drama; Romance; School; Slice of Life; Supernatural;;;;;;;
16706;Kami nomi zo Shiru Sekai: Megami-hen;TV;12;8.30;142612;Comedy; Harem; Romance; Shounen; Supernatural;;;;;;;;
5681;Summer Wars;Movie;1;8.30;223359;Comedy; Sci-Fi;;;;;;;;;;;
3901;Baccano! Specials;Special;3;8.29;100412;Action; Comedy; Historical; Mystery; Seinen; Supernatural;;;;;;;
6467;Detective Conan Movie 14: The Lost Ship in the Sky;Movie;1;8.29;20602;Action; Mystery; Police; Shounen;;;;;;;;;
10271;Gyakkyou Burai Kaiji: Hakairoku-hen;TV;26;8.29;55566;Game; Psychological; Seinen; Thriller;;;;;;;;;
22507;Initial D Final Stage;TV;4;8.29;19702;Cars; Seinen; Sports;;;;;;;;;;
3701;Kaiba;TV;12;8.29;56927;Adventure; Mystery; Romance; Sci-Fi;;;;;;;;;
19123;One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;Special;1;8.29;17247;Action; Adventure; Comedy; Drama; Fantasy; Shounen; Super Power;;;;;;
33255;Saiki Kusuo no Ψ-nan (TV);TV;120;8.29;47092;Comedy; School; Shounen; Supernatural;;;;;;;;;
372;Cardcaptor Sakura Movie 2: Fuuin Sareta Card;Movie;1;8.28;60637;Comedy; Drama; Fantasy; Magic; Romance; Shoujo;;;;;;;
265;Hajime no Ippo: Mashiba vs. Kimura;OVA;1;8.28;40623;Comedy; Shounen; Sports;;;;;;;;;;
